Year,Emirate_Ar,Emirate_En,Category_Type_Ar,Category_Type_En,Measurement_unit_Ar,Measurement_unit_En,??? ??????,Station Name,??? ???? ?????? ,Type of Location ,Value
2008,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????????,Al Qasimiah,???????/ ?????,Urban/Residential,0.870115556
2008,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????,Al  Jeer,???????/ ?????,Urban/Residential,1.568497778
2008,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????????,Burairat,???????/ ?????,Urban/Residential,...
2009,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m8,???? ?????,Hamdan Street,???? ??????,Beside Road,1.1
2009,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m9,???? ????? ,Al-Ain Street,???? ??????,Beside Road,1.4
2009,????? ,Ajman,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,---,---,---,---,0.778524444
2009,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,???? ,Deira,????? ,Residential,0.572444444
2009,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????? ,Al Safa,????? ,Residential,0.572444444
2009,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????? , Al Karama,????? ,Residential,-
2009,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????? ,Al Mushref,????? / ?????,Residential / Park,-
2009,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????,Sakamkam,??????? / ?????,Urban/Residential,0.801422222
2009,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????,Airport,??????,Industrial,1.717333333
2009,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????????,Al Qasimiah,???????/ ?????,Urban/Residential,0.881564444
2009,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????,Al  Jeer,???????/ ?????,Urban/Residential,0.698382222
2009,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????????,Burairat,???????/ ?????,Urban/Residential,0.675484444
2010,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m10,???? ?????,Hamdan Street,???? ??????,Beside Road,1
2010,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m11,???? ????? ,Al-Ain Street,???? ??????,Beside Road,0.9
2010,????? ,Ajman,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,---,---,---,---,0.82432
2010,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,???? ,Deira,????? ,Residential,0.572444444
2010,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????? ,Al Safa,????? ,Residential,-
2010,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????? , Al Karama,????? ,Residential,-
2010,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????? ,Al Mushref,????? / ?????,Residential / Park,-
2010,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????,Sakamkam,??????? / ?????,Urban/Residential,…
2010,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????,Airport,??????,Industrial,1.488355556
2010,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????????,Al Qasimiah,???????/ ?????,Urban/Residential,1.110542222
2010,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????,Al  Jeer,???????/ ?????,Urban/Residential,0.755626667
2010,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????????,Burairat,???????/ ?????,Urban/Residential,0.595342222
2011,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m12,???? ?????,Hamdan Street,???? ??????,Beside Road,0.9
2011,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m13,???? ????? ,Al-Ain Street,???? ??????,Beside Road,1
2011,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,???? ,Deira,????? ,Residential,0.572444444
2011,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????? ,Al Safa,????? ,Residential,-
2011,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????? , Al Karama,????? ,Residential,-
2011,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????? ,Al Mushref,????? / ?????,Residential / Park,-
2011,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????,Sakamkam,??????? / ?????,Urban/Residential,0.091591111
2011,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????,Airport,??????,Industrial,0.045795556
2012,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m14,???? ?????,Hamdan Street,???? ??????,Beside Road,1
2012,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m15,???? ????? ,Al-Ain Street,???? ??????,Beside Road,1
2012,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,???? ,Deira,????? ,Residential,2.381368889
2012,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????? ,Al Safa,????? ,Residential,-
2012,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????? , Al Karama,????? ,Residential,-
2012,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????? ,Al Mushref,????? / ?????,Residential / Park,0.114488889
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ?????,Hamdan Street,???? ??????,Traffic,0.7
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Khadejah School,??? ??????? ,Down Town,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Khalifa School,?????/ ?????,Urban/Residential,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Al Maqta,?????/ ?????,Urban/Residential,0.3
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ????? ?,Khalifa City A, ?????/ ?????,Urban/Residential,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ??? ???,Baniyas School,?????/ ?????,Urban/Residential,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????,Mussafah ,??????  ,Industrial,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Al Mafraq,??????,Industrial,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  , ???? ?????,Al Ain Street,???? ??????,Traffic,0.9
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Al Ain Islamic Institute,?????/ ?????,Urban/Residential,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Al Tawia,?????/ ?????,Urban/Residential,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????,Zakher , ?????/ ?????,Urban/Residential,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Sweihan,?????/ ?????,Urban/Residential,0.3
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Al Qua'a,?????/ ?????,Residential,0.2
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ?????? - ???? ??????,Abu Dhabi- Tarif Road,???? ??????,Traffic,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  , ??? ????,Bida Zayed ,?????/ ?????,Urban/Residential,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Habshan South ,?????/ ?????,Residential,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Ruwais ,??????  ,Industrial,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Gayathi School,??? ???????,Down Town,-
2013,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ????,Liwa Oasis,?????,Remote Area,-
2013,????? ,Ajman,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????????,Al hamediah ,????? ,Residential,0.806811255
2013,????? ,Ajman,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Musharif,????? ,Residential,0.996158502
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ,Deira,?????-??????,Residential-Commercial,0.4248
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???????,Karama,?????-??????,Residential-Commercial,0.4167
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Zabeel Park,?????,Park,0.5564
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ??? ??? ,Jebel Ali Village,?????,Residential,0.1431
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ????????,Emirates Hills,?????,Residential,0.7064
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ???,Dubai Airport,?????,Airport,0.3606
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Mushrif,?????,Park,-
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???,Hatta,?????,Remote Area,-
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ??? ???,Jebel Ali Port,??????  ,Industrial,0.75
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ,Warsan,??????  ,Industrial,-
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ????? ????,Shk. Zayed Road,???? ??????,Traffic,0.4545
2013,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ????? ???? ?? ????,Sheikh Mohd. Bin Zayed Rd.,???? ??????,Traffic,0.5702
2013,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Al Jeer,????? ,Residential,0.844030738
2013,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????????,Al Burairat,????? ,Residential,0.812932204
2013,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????????,AL Qasmiah,????? ,Residential,1.019106303
2013,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Ghalilah,????? ,Residential,0.762280555
2013,???????,Sharjah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???????,Al hummariah,?????? ,Industrial ,0.565020894
2013,???????,Sharjah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Kalba,????? ,Residential,0.569221814
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ?????,Hamdan Street,???? ??????,Traffic,1.080154079
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Khadejah School,??? ??????? ,Down Town,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Khalifa School,?????/ ?????,Urban/Residential,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Al Maqta,?????/ ?????,Urban/Residential,0.679677524
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ????? ?,Khalifa City A, ?????/ ?????,Urban/Residential,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ??? ???,Baniyas School,?????/ ?????,Urban/Residential,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????,Mussafah ,??????  ,Industrial,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Al Mafraq,??????,Industrial,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  , ???? ?????,Al Ain Street,???? ??????,Traffic,0.91703125
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Al Ain Islamic Institute,?????/ ?????,Urban/Residential,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Al Tawia,?????/ ?????,Urban/Residential,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????,Zakher , ?????/ ?????,Urban/Residential,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Sweihan,?????/ ?????,Urban/Residential,0.472319218
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Al Qua'a,?????/ ?????,Residential,0.339711765
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ?????? - ???? ??????,Abu Dhabi- Tarif Road,???? ??????,Traffic,0.347861702
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  , ??? ????,Bida Zayed ,?????/ ?????,Urban/Residential,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Habshan South ,?????/ ?????,Residential,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Ruwais ,??????  ,Industrial,0.302438931
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Gayathi School,??? ???????,Down Town,-
2014,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ????,Liwa Oasis,?????,Remote Area,-
2014,????? ,Ajman,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????????,Al hamediah ,????? ,Residential,-
2014,????? ,Ajman,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Musharif,????? ,Residential,1.152549516
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ,Deira,?????-??????,Residential-Commercial,0.3663
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???????,Karama,?????-??????,Residential-Commercial,0.5495
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Zabeel Park,?????,Park,0.5266
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ??? ??? ,Jebel Ali Village,?????,Residential,0.4351
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ????????,Emirates Hills,?????,Residential,0.4456
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ???,Dubai Airport,?????,Airport,0.4694
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Mushrif,?????,Park,-
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???,Hatta,?????,Remote Area,-
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ??? ???,Jebel Ali Port,??????  ,Industrial,0.4694
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ,Warsan,??????  ,Industrial,-
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ????? ????,Shk. Zayed Road,???? ??????,Traffic,0.8816
2014,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ????? ???? ?? ????,Sheikh Mohd. Bin Zayed Rd.,???? ??????,Traffic,0.4923
2014,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Al Jeer,????? ,Residential,0.770213864
2014,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????????,Al Burairat,????? ,Residential,0.815224493
2014,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????????,AL Qasmiah,????? ,Residential,1.083200634
2014,??? ?????? ,Ras Al-Khaimah ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Ghalilah,????? ,Residential,1.054800627
2014,???????,Sharjah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???????,Al hummariah,?????? ,Industrial ,0.739379538
2014,???????,Sharjah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,?????,Kalba,????? ,Residential,0.788698101
2015,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,???? ?????,Hamdan Street,???? ??????,Traffic,1.763887
2015,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Khadejah School,??? ??????? ,Down Town,-
2015,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ?????,Khalifa School,?????/ ?????,Urban/Residential,-
2015,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,??????,Al Maqta,?????/ ?????,Urban/Residential,0.831336
2015,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ????? ?,Khalifa City A, ?????/ ?????,Urban/Residential,-
2015,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????? ??? ???,Baniyas School,?????/ ?????,Urban/Residential,-
2015,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3  ,????,Mussafah ,??????  ,Industrial,-
